label,replay,trial,wall_time_s,render_phase_s,encode_phase_s,peak_rss_kib,output_bytes,frames
pyav,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,1,43.766,33.053,0.658,1370212,6592241,769
pyav,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,2,43.600,32.904,0.753,1380568,6592241,769
pyav,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,3,43.407,32.744,0.666,1371084,6592241,769
pyav,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,1,33.649,25.477,0.353,1256084,3263275,587
pyav,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,2,33.173,25.690,0.361,1254924,3263275,587
pyav,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,3,32.989,25.544,0.369,1248916,3263275,587
pyav,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,1,28.215,21.999,0.576,1203048,3037438,516
pyav,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,2,28.041,21.882,0.592,1213800,3037438,516
pyav,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,3,27.997,21.849,0.577,1204512,3037438,516
master,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,1,23.670,13.781,0.229,982824,6472360,769
master,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,2,23.522,13.708,0.190,983140,6472360,769
master,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,3,23.560,13.674,0.214,983244,6472360,769
master,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,1,17.818,10.192,0.163,859552,3131450,587
master,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,2,17.444,10.243,0.145,859632,3131450,587
master,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,3,18.010,10.379,0.164,859568,3131450,587
master,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,1,14.502,8.918,0.204,809796,2928547,516
master,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,2,14.541,8.964,0.211,809900,2928547,516
master,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,3,14.754,8.903,0.204,809892,2928547,516
pyav-t4,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,1,23.631,13.543,0.242,1359084,6344121,769
pyav-t4,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,2,23.307,13.276,0.241,1359792,6344121,769
pyav-t4,20260327_213920_PASA020-Essex_18_NE_ice_islands.wowsreplay,3,22.731,13.027,0.237,1350952,6344121,769
pyav-t4,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,1,16.648,9.105,0.206,1226124,3102711,587
pyav-t4,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,2,16.275,8.981,0.195,1233352,3102711,587
pyav-t4,20260403_213640_PGSB708-Bismarck-1941_55_Seychelles.wowsreplay,3,16.284,8.941,0.198,1226972,3102711,587
pyav-t4,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,1,14.011,8.051,0.294,1195476,2848075,516
pyav-t4,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,2,13.813,8.038,0.302,1182168,2848075,516
pyav-t4,20260321_194840_PFSD508-Le-Terrible_56_AngelWings.wowsreplay,3,14.126,8.222,0.294,1182328,2848075,516
